periode_data,tanggal,jenis_moda,jumlah_penumpang_per_hari
202401,2024-01-01,krl,870760
202401,2024-01-02,krl,988279
202401,2024-01-03,krl,911701
202401,2024-01-04,krl,958012
202401,2024-01-05,krl,947322
202401,2024-01-06,krl,798322
202401,2024-01-07,krl,798114
202401,2024-01-08,krl,688412
202401,2024-01-09,krl,950789
202401,2024-01-10,krl,919683
202401,2024-01-11,krl,920561
202401,2024-01-12,krl,902018
202401,2024-01-13,krl,922799
202401,2024-01-14,krl,732353
202401,2024-01-15,krl,944556
202401,2024-01-16,krl,917677
202401,2024-01-17,krl,902426
202401,2024-01-18,krl,905853
202401,2024-01-19,krl,838859
202401,2024-01-20,krl,783001
202401,2024-01-21,krl,657590
202401,2024-01-22,krl,937463
202401,2024-01-23,krl,900344
202401,2024-01-24,krl,904134
202401,2024-01-25,krl,897113
202401,2024-01-26,krl,916574
202401,2024-01-27,krl,717013
202401,2024-01-28,krl,659556
202401,2024-01-29,krl,906586
202401,2024-01-30,krl,875459
202401,2024-01-31,krl,889474
202402,2024-02-01,krl,912547
202402,2024-02-02,krl,933427
202402,2024-02-03,krl,781356
202402,2024-02-04,krl,663353
202402,2024-02-05,krl,955287
202402,2024-02-06,krl,916043
202402,2024-02-07,krl,984008
202402,2024-02-08,krl,712380
202402,2024-02-09,krl,734837
202402,2024-02-10,krl,816076
202402,2024-02-11,krl,658295
202402,2024-02-12,krl,945498
202402,2024-02-13,krl,1005819
202402,2024-02-14,krl,568902
202402,2024-02-15,krl,922880
202402,2024-02-16,krl,915763
202402,2024-02-17,krl,703450
202402,2024-02-18,krl,632151
202402,2024-02-19,krl,964524
202402,2024-02-20,krl,933261
202402,2024-02-21,krl,927220
202402,2024-02-22,krl,924451
202402,2024-02-23,krl,930374
202402,2024-02-24,krl,731736
202402,2024-02-25,krl,657342
202402,2024-02-26,krl,966121
202402,2024-02-27,krl,937269
202402,2024-02-28,krl,919349
202402,2024-02-29,krl,923111
202404,2024-04-01,krl,1041750
202404,2024-04-02,krl,1016377
202404,2024-04-03,krl,1005224
202403,2024-03-01,krl,977267
202403,2024-03-02,krl,837056
202403,2024-03-03,krl,793555
202403,2024-03-04,krl,1024456
202403,2024-03-05,krl,991360
202403,2024-03-06,krl,994370
202403,2024-03-07,krl,1012972
202403,2024-03-08,krl,1035592
202403,2024-03-09,krl,837022
202403,2024-03-10,krl,750603
202403,2024-03-11,krl,569729
202403,2024-03-12,krl,585705
202403,2024-03-13,krl,929293
202403,2024-03-14,krl,893866
202403,2024-03-15,krl,900548
202403,2024-03-16,krl,557040
202403,2024-03-17,krl,451255
202403,2024-03-18,krl,957197
202403,2024-03-19,krl,919024
202403,2024-03-20,krl,924695
202403,2024-03-21,krl,935699
202403,2024-03-22,krl,915091
202403,2024-03-23,krl,659891
202403,2024-03-24,krl,539098
202403,2024-03-25,krl,986301
202403,2024-03-26,krl,953562
202403,2024-03-27,krl,966133
202403,2024-03-28,krl,1019271
202403,2024-03-29,krl,674165
202403,2024-03-30,krl,740212
202403,2024-03-31,krl,669960
202404,2024-04-04,krl,1025360
202404,2024-04-05,krl,988646
202404,2024-04-06,krl,742916
202404,2024-04-07,krl,620707
202404,2024-04-08,krl,599973
202404,2024-04-09,krl,451270
202404,2024-04-10,krl,587395
202404,2024-04-11,krl,777212
202404,2024-04-12,krl,665916
202404,2024-04-13,krl,823879
202404,2024-04-14,krl,760126
202404,2024-04-15,krl,779518
202404,2024-04-16,krl,958034
202404,2024-04-17,krl,968640
202404,2024-04-18,krl,965331
202404,2024-04-19,krl,951679
202404,2024-04-20,krl,794650
202404,2024-04-21,krl,703773
202404,2024-04-22,krl,981444
202404,2024-04-23,krl,957131
202404,2024-04-24,krl,957042
202404,2024-04-25,krl,952117
202404,2024-04-26,krl,959679
202404,2024-04-27,krl,784564
202404,2024-04-28,krl,702389
202404,2024-04-29,krl,989908
202404,2024-04-30,krl,992554
202406,2024-06-03,krl,1003408
202406,2024-06-04,krl,985563
202406,2024-06-05,krl,989541
202406,2024-06-06,krl,1000417
202406,2024-06-07,krl,996788
202406,2024-06-08,krl,807388
202406,2024-06-09,krl,703468
202406,2024-06-10,krl,1000931
202406,2024-06-11,krl,977442
202406,2024-06-12,krl,971721
202406,2024-06-13,krl,966228
202406,2024-06-14,krl,973585
202406,2024-06-15,krl,739917
202406,2024-06-16,krl,585069
202406,2024-06-17,krl,526807
202406,2024-06-18,krl,781472
202406,2024-06-19,krl,1011023
202406,2024-06-20,krl,984785
202406,2024-06-21,krl,974053
202406,2024-06-22,krl,883631
202406,2024-06-23,krl,713464
202406,2024-06-24,krl,1010366
202406,2024-06-25,krl,981652
202406,2024-06-26,krl,1003886
202406,2024-06-27,krl,984044
202406,2024-06-28,krl,997883
202406,2024-06-29,krl,824115
202406,2024-06-30,krl,835677
202406,2024-06-01,krl,815519
202406,2024-06-02,krl,709632
202405,2024-05-01,krl,1002616
202405,2024-05-02,krl,975353
202405,2024-05-03,krl,793957
202405,2024-05-04,krl,711676
202405,2024-05-05,krl,1009524
202405,2024-05-06,krl,982585
202405,2024-05-07,krl,1031383
202405,2024-05-08,krl,693740
202405,2024-05-09,krl,760230
202405,2024-05-10,krl,788915
202405,2024-05-11,krl,713985
202405,2024-05-12,krl,1006562
202405,2024-05-13,krl,971436
202405,2024-05-14,krl,974609
202405,2024-05-15,krl,964649
202405,2024-05-16,krl,972900
202405,2024-05-17,krl,775173
202405,2024-05-18,krl,661635
202405,2024-05-19,krl,993049
202405,2024-05-20,krl,961156
202405,2024-05-21,krl,1000825
202405,2024-05-22,krl,660736
202405,2024-05-23,krl,723567
202405,2024-05-24,krl,690567
202405,2024-05-25,krl,660263
202405,2024-05-26,krl,988458
