periode_data,tanggal,jenis_modal,penumpang
202401,2024-01-01,mrt,57856
202401,2024-01-02,mrt,99620
202401,2024-01-03,mrt,104306
202401,2024-01-04,mrt,115248
202401,2024-01-05,mrt,115113
202401,2024-01-06,mrt,57512
202401,2024-01-07,mrt,57570
202401,2024-01-08,mrt,112782
202401,2024-01-09,mrt,118892
202401,2024-01-10,mrt,120091
202401,2024-01-11,mrt,120445
202401,2024-01-12,mrt,120521
202401,2024-01-13,mrt,75462
202401,2024-01-14,mrt,73436
202401,2024-01-15,mrt,112177
202401,2024-01-16,mrt,121723
202401,2024-01-17,mrt,118208
202401,2024-01-18,mrt,118295
202401,2024-01-19,mrt,109609
202401,2024-01-20,mrt,76604
202401,2024-01-21,mrt,62549
202401,2024-01-22,mrt,111503
202401,2024-01-23,mrt,118575
202401,2024-01-24,mrt,120181
202401,2024-01-25,mrt,119008
202401,2024-01-26,mrt,121141
202401,2024-01-27,mrt,60894
202401,2024-01-28,mrt,61391
202401,2024-01-29,mrt,109988
202401,2024-01-30,mrt,118291
202401,2024-01-31,mrt,124709
202402,2024-02-01,mrt,122452
202402,2024-02-02,mrt,122765
202402,2024-02-03,mrt,85521
202402,2024-02-04,mrt,65821
202402,2024-02-05,mrt,116416
202402,2024-02-06,mrt,121948
202402,2024-02-07,mrt,132746
202402,2024-02-08,mrt,68137
202402,2024-02-09,mrt,73290
202402,2024-02-10,mrt,97425
202402,2024-02-11,mrt,53484
202402,2024-02-12,mrt,111592
202402,2024-02-13,mrt,119741
202402,2024-02-14,mrt,38477
202402,2024-02-15,mrt,110014
202402,2024-02-16,mrt,108287
202402,2024-02-17,mrt,57070
202402,2024-02-18,mrt,52133
202402,2024-02-19,mrt,114008
202402,2024-02-20,mrt,120693
202402,2024-02-21,mrt,119410
202402,2024-02-22,mrt,118832
202402,2024-02-23,mrt,113483
202402,2024-02-24,mrt,61023
202402,2024-02-25,mrt,56516
202402,2024-02-26,mrt,114168
202402,2024-02-27,mrt,121579
202402,2024-02-28,mrt,124706
202402,2024-02-29,mrt,118773
202403,2024-03-01,mrt,133521
202403,2024-03-02,mrt,72213
202403,2024-03-03,mrt,67004
202403,2024-03-04,mrt,118607
202403,2024-03-05,mrt,127631
202403,2024-03-06,mrt,131532
202403,2024-03-07,mrt,128627
202403,2024-03-08,mrt,133136
202403,2024-03-09,mrt,62592
202403,2024-03-10,mrt,67319
202403,2024-03-11,mrt,37889
202403,2024-03-12,mrt,52696
202403,2024-03-13,mrt,115590
202403,2024-03-14,mrt,116268
202403,2024-03-15,mrt,117451
202403,2024-03-16,mrt,36948
202403,2024-03-17,mrt,28841
202403,2024-03-18,mrt,116435
202403,2024-03-19,mrt,122338
202403,2024-03-20,mrt,123020
202403,2024-03-21,mrt,129855
202403,2024-03-22,mrt,116985
202403,2024-03-23,mrt,55935
202403,2024-03-24,mrt,40414
202403,2024-03-25,mrt,120394
202403,2024-03-26,mrt,125139
202403,2024-03-27,mrt,117526
202403,2024-03-28,mrt,123619
202403,2024-03-29,mrt,45818
202403,2024-03-30,mrt,51268
202403,2024-03-31,mrt,39745
202404,2024-04-01,mrt,123089
202404,2024-04-02,mrt,128812
202404,2024-04-03,mrt,135466
202404,2024-04-04,mrt,120383
202404,2024-04-05,mrt,114702
202404,2024-04-06,mrt,40530
202404,2024-04-07,mrt,32785
202404,2024-04-08,mrt,43426
202404,2024-04-09,mrt,31608
202404,2024-04-10,mrt,25586
202404,2024-04-11,mrt,45037
202404,2024-04-12,mrt,46730
202404,2024-04-13,mrt,55019
202404,2024-04-14,mrt,48621
202404,2024-04-15,mrt,61783
202404,2024-04-16,mrt,111133
202404,2024-04-17,mrt,117957
202404,2024-04-18,mrt,106172
202404,2024-04-19,mrt,118606
202404,2024-04-20,mrt,66455
202404,2024-04-21,mrt,57989
202404,2024-04-22,mrt,114168
202404,2024-04-23,mrt,116905
202404,2024-04-24,mrt,122574
202404,2024-04-25,mrt,121052
202404,2024-04-26,mrt,113478
202404,2024-04-27,mrt,76600
202404,2024-04-28,mrt,67134
202404,2024-04-29,mrt,120778
202404,2024-04-30,mrt,123326
202406,2024-06-01,mrt,85171
202406,2024-06-02,mrt,78021
202406,2024-06-03,mrt,111801
202406,2024-06-04,mrt,134465
202406,2024-06-05,mrt,128724
202406,2024-06-06,mrt,157771
202406,2024-06-07,mrt,139620
202406,2024-06-08,mrt,79786
202406,2024-06-09,mrt,87370
202406,2024-06-10,mrt,126943
202406,2024-06-11,mrt,137201
202406,2024-06-12,mrt,136359
202406,2024-06-13,mrt,132250
202406,2024-06-14,mrt,125074
202406,2024-06-15,mrt,59469
202406,2024-06-16,mrt,53721
202406,2024-06-17,mrt,42293
202406,2024-06-18,mrt,73034
202406,2024-06-19,mrt,127527
202406,2024-06-20,mrt,132124
202406,2024-06-21,mrt,130474
202406,2024-06-22,mrt,126540
202406,2024-06-23,mrt,121444
202406,2024-06-24,mrt,125287
202406,2024-06-25,mrt,136117
202406,2024-06-26,mrt,140005
202406,2024-06-27,mrt,136527
202406,2024-06-28,mrt,147017
202406,2024-06-29,mrt,87178
202406,2024-06-30,mrt,100499
202405,2024-05-01,mrt,68691
202405,2024-05-02,mrt,115692
202405,2024-05-03,mrt,123678
202405,2024-05-04,mrt,69000
202405,2024-05-05,mrt,72015
202405,2024-05-06,mrt,118445
202405,2024-05-07,mrt,123965
202405,2024-05-08,mrt,137007
202405,2024-05-09,mrt,68284
202405,2024-05-10,mrt,83827
202405,2024-05-11,mrt,74665
202405,2024-05-12,mrt,82720
202405,2024-05-13,mrt,118927
202405,2024-05-14,mrt,113440
202405,2024-05-15,mrt,118265
202405,2024-05-16,mrt,131186
202405,2024-05-17,mrt,122352
202405,2024-05-18,mrt,63122
202405,2024-05-19,mrt,80686
202405,2024-05-20,mrt,119876
202405,2024-05-21,mrt,120683
202405,2024-05-22,mrt,115360
202405,2024-05-23,mrt,71668
202405,2024-05-24,mrt,79890
202405,2024-05-25,mrt,71920
202405,2024-05-26,mrt,71259
202405,2024-05-27,mrt,122289
202405,2024-05-28,mrt,125892
202405,2024-05-29,mrt,132784
202405,2024-05-30,mrt,68551
202405,2024-05-31,mrt,115018
202407,2024-07-01,mrt,133900
202407,2024-07-02,mrt,141359
202407,2024-07-03,mrt,145641
202407,2024-07-04,mrt,134852
202407,2024-07-05,mrt,142434
202407,2024-07-06,mrt,68959
202407,2024-07-07,mrt,87751
202407,2024-07-08,mrt,137866
202407,2024-07-09,mrt,137866
202407,2024-07-10,mrt,143735
202407,2024-07-11,mrt,143237
202407,2024-07-12,mrt,143466
202407,2024-07-13,mrt,97892
202407,2024-07-14,mrt,83495
202407,2024-07-15,mrt,125436
202407,2024-07-16,mrt,122913
202407,2024-07-17,mrt,138805
202407,2024-07-18,mrt,121881
202407,2024-07-19,mrt,136335
202407,2024-07-20,mrt,86662
202407,2024-07-21,mrt,80059
202407,2024-07-22,mrt,125152
202407,2024-07-23,mrt,134302
202407,2024-07-24,mrt,136427
202407,2024-07-25,mrt,130189
202407,2024-07-26,mrt,136427
202407,2024-07-27,mrt,91779
202407,2024-07-28,mrt,83529
202407,2024-07-29,mrt,126218
202407,2024-07-30,mrt,132840
202407,2024-07-31,mrt,132830
202409,2024-09-01,mrt,77416
202408,2024-08-01,mrt,136582
202408,2024-08-02,mrt,144726
202408,2024-08-03,mrt,90605
202408,2024-08-04,mrt,91268
202408,2024-08-05,mrt,128848
202408,2024-08-06,mrt,136952
202408,2024-08-07,mrt,141094
202408,2024-08-08,mrt,137789
202408,2024-08-09,mrt,138155
202408,2024-08-10,mrt,96883
202408,2024-08-11,mrt,77830
202408,2024-08-12,mrt,128884
202408,2024-08-13,mrt,140806
202408,2024-08-14,mrt,137045
202408,2024-08-15,mrt,135600
202408,2024-08-16,mrt,138635
202408,2024-08-17,mrt,83747
202408,2024-08-18,mrt,75108
202408,2024-08-19,mrt,125083
202408,2024-08-20,mrt,133516
202408,2024-08-21,mrt,137033
202408,2024-08-22,mrt,137749
202408,2024-08-23,mrt,129025
202408,2024-08-24,mrt,82132
202408,2024-08-25,mrt,78530
202408,2024-08-26,mrt,126419
202408,2024-08-27,mrt,132866
202408,2024-08-28,mrt,135566
202408,2024-08-29,mrt,133353
202408,2024-08-30,mrt,137464
202408,2024-08-31,mrt,89680
202411,2024-11-01,mrt,140353
202411,2024-11-02,mrt,86229
202411,2024-11-03,mrt,78871
202411,2024-11-04,mrt,127006
202411,2024-11-05,mrt,144409
202411,2024-11-06,mrt,138293
202411,2024-11-07,mrt,137346
202411,2024-11-08,mrt,143571
202411,2024-11-09,mrt,86203
202411,2024-11-10,mrt,66560
202411,2024-11-11,mrt,130773
202411,2024-11-12,mrt,136799
202411,2024-11-13,mrt,140349
202411,2024-11-14,mrt,138115
202411,2024-11-15,mrt,146910
202411,2024-11-16,mrt,75366
202411,2024-11-17,mrt,76762
202411,2024-11-18,mrt,127232
202411,2024-11-19,mrt,149339
202411,2024-11-20,mrt,137648
202411,2024-11-21,mrt,134389
202410,2024-10-01,mrt,137804
202410,2024-10-02,mrt,141120
202410,2024-10-03,mrt,139663
202410,2024-10-04,mrt,145921
202410,2024-10-05,mrt,142936
202410,2024-10-06,mrt,78779
202410,2024-10-07,mrt,128909
202410,2024-10-08,mrt,136308
202410,2024-10-09,mrt,140697
202410,2024-10-10,mrt,139023
202410,2024-10-11,mrt,138132
202410,2024-10-12,mrt,90284
202410,2024-10-13,mrt,70836
202410,2024-10-14,mrt,126820
202410,2024-10-15,mrt,136273
202410,2024-10-16,mrt,138598
202410,2024-10-17,mrt,135787
202410,2024-10-18,mrt,138165
202410,2024-10-19,mrt,80580
202410,2024-10-20,mrt,132311
202410,2024-10-21,mrt,126892
202410,2024-10-22,mrt,132796
202410,2024-10-23,mrt,133927
202410,2024-10-24,mrt,131414
202410,2024-10-25,mrt,135755
202410,2024-10-26,mrt,81817
202410,2024-10-27,mrt,74163
202410,2024-10-28,mrt,125895
202410,2024-10-29,mrt,133449
202410,2024-10-30,mrt,135972
202410,2024-10-31,mrt,134554
202409,2024-09-02,mrt,127463
202409,2024-09-03,mrt,136000
202409,2024-09-04,mrt,139700
202409,2024-09-05,mrt,117416
202409,2024-09-06,mrt,134651
202409,2024-09-07,mrt,86160
202409,2024-09-08,mrt,79327
202409,2024-09-09,mrt,130683
202409,2024-09-10,mrt,168739
202409,2024-09-11,mrt,139455
202409,2024-09-12,mrt,141684
202409,2024-09-13,mrt,136551
202409,2024-09-14,mrt,85345
202409,2024-09-15,mrt,105901
202409,2024-09-16,mrt,63832
202409,2024-09-17,mrt,130995
202409,2024-09-18,mrt,136992
202409,2024-09-19,mrt,134680
202409,2024-09-20,mrt,135501
202409,2024-09-21,mrt,81078
202409,2024-09-22,mrt,77031
202409,2024-09-23,mrt,125886
202409,2024-09-24,mrt,132198
202409,2024-09-25,mrt,140607
202409,2024-09-26,mrt,139367
202409,2024-09-27,mrt,141757
202409,2024-09-28,mrt,93212
202409,2024-09-29,mrt,87136
202409,2024-09-30,mrt,129721
202501,2025-01-01,mrt,113831
202501,2025-01-02,mrt,121991
202501,2025-01-03,mrt,127372
202501,2025-01-04,mrt,75183
202501,2025-01-05,mrt,63337
202501,2025-01-06,mrt,133095
202501,2025-01-07,mrt,136369
202501,2025-01-08,mrt,138191
202501,2025-01-09,mrt,133640
202501,2025-01-10,mrt,140932
202501,2025-01-11,mrt,78361
202501,2025-01-12,mrt,75898
202501,2025-01-13,mrt,132918
202501,2025-01-14,mrt,141965
202501,2025-01-15,mrt,144634
202501,2025-01-16,mrt,140136
202501,2025-01-17,mrt,142156
202501,2025-01-18,mrt,79278
202501,2025-01-19,mrt,70221
202501,2025-01-20,mrt,133123
202501,2025-01-21,mrt,136423
202501,2025-01-22,mrt,141091
202501,2025-01-23,mrt,129260
202501,2025-01-24,mrt,139090
202501,2025-01-25,mrt,79126
202501,2025-01-26,mrt,100538
202501,2025-01-27,mrt,83546
202501,2025-01-28,mrt,80365
202501,2025-01-29,mrt,51336
202501,2025-01-30,mrt,132390
202501,2025-01-31,mrt,138869
202411,2024-11-22,mrt,135209
202411,2024-11-23,mrt,74060
202411,2024-11-24,mrt,66368
202411,2024-11-25,mrt,130124
202411,2024-11-26,mrt,148489
202411,2024-11-27,mrt,55950
202411,2024-11-28,mrt,137234
202411,2024-11-29,mrt,139698
202411,2024-11-30,mrt,84986
202412,2024-12-01,mrt,72825
202412,2024-12-02,mrt,128308
202412,2024-12-03,mrt,134323
202412,2024-12-04,mrt,134691
202412,2024-12-05,mrt,139750
202412,2024-12-06,mrt,143355
202412,2024-12-07,mrt,97782
202412,2024-12-08,mrt,71406
202412,2024-12-09,mrt,127367
